usecase,order_details_id,order_id,pizza_id,quantity
data_11-3,1,1,hawaiian_m,1
data_11-3,2,2,classic_dlx_m,1
data_11-3,3,2,five_cheese_l,1
data_11-3,4,2,ital_supr_l,1
data_11-3,5,2,mexicana_m,1
data_11-3,6,2,thai_ckn_l,1
data_11-3,7,3,ital_supr_m,1
data_11-3,8,3,prsc_argla_l,1
data_11-3,9,4,ital_supr_m,1
data_11-3,10,5,ital_supr_m,1
data_11-3,11,6,bbq_ckn_s,1
data_11-3,12,6,the_greek_s,1
data_11-3,13,7,spinach_supr_s,1
data_11-3,14,8,spinach_supr_s,1
data_11-3,15,9,classic_dlx_s,1
data_11-3,16,9,green_garden_s,1
data_11-3,17,9,ital_cpcllo_l,1
data_11-3,18,9,ital_supr_l,1
data_11-3,19,9,ital_supr_s,1
data_11-3,20,9,mexicana_s,1
data_11-3,21,9,spicy_ital_l,1
data_11-3,22,9,spin_pesto_l,1
data_11-3,23,9,veggie_veg_s,1
data_11-3,24,10,mexicana_l,1
data_11-3,25,10,southw_ckn_l,1
data_11-3,26,11,bbq_ckn_l,1
data_11-3,27,11,cali_ckn_l,1
data_11-3,28,11,cali_ckn_m,1
data_11-3,29,11,pepperoni_l,1
data_11-3,30,12,cali_ckn_l,1
data_11-3,31,12,cali_ckn_s,1
data_11-3,32,12,ckn_pesto_l,1
data_11-3,33,12,ital_supr_m,1
data_11-3,34,13,mexicana_l,1
data_11-3,35,14,the_greek_s,1
data_11-3,36,15,big_meat_s,1
data_11-3,37,15,five_cheese_l,1
data_11-3,38,15,soppressata_l,1
data_11-3,39,15,the_greek_s,1
data_11-3,40,16,four_cheese_l,1
data_11-3,41,16,napolitana_s,1
data_11-3,42,16,thai_ckn_l,1
data_11-3,43,17,bbq_ckn_l,1
data_11-3,44,17,calabrese_m,1
data_11-3,45,17,five_cheese_l,1
data_11-3,46,17,four_cheese_m,1
data_11-3,47,17,ital_supr_m,1
data_11-3,48,17,ital_veggie_s,1
data_11-3,49,17,mediterraneo_m,2
data_11-3,50,17,mexicana_l,1
data_11-3,51,17,peppr_salami_s,1
data_11-3,52,17,spinach_fet_l,1
data_11-3,53,18,napolitana_l,1
data_11-3,54,19,ital_cpcllo_l,1
data_11-3,55,19,sicilian_l,1
data_11-3,56,20,big_meat_s,1
data_11-3,57,20,five_cheese_l,1
data_11-3,58,21,ital_cpcllo_l,1
data_11-3,59,22,five_cheese_l,1
data_11-3,60,22,ital_cpcllo_m,1
data_11-3,61,22,southw_ckn_l,1
